ID,Science,PI,Institution,Name,LaunchSite,Date,Year,Apogee,Vehicle,Impact
12.062,GT,Krause,NASA/Wallops Flight Facility,,WSMR,1/20/2005,2005,99,NIKE (3 FIN) ORION,76.5
40.017,UE,Lynch,Dartmouth University,CASCADES,PFRR,3/6/2005,2005,29.5,BLACK BRANT XII,21.9
30.059,UE,Lynch,Dartmouth University,Dust,PFRR,3/14/2005,2005,99.9,IMPROVED ORION (4 FIN) BOAT TAIL,52.4
30.058,UE,Lynch,Dartmouth University,Dust,PFRR,3/15/2005,2005,100.1,IMPROVED ORION (4 FIN) BOAT TAIL,46.1
30.056,UO,Hall,NASA/Wallops Flight Facility,MAGIC,WFF,5/17/2005,2005,98,Improved Orion,56.5
30.061,NO,Justis,NASA/Wallops Flight Facility,SubSEM,WFF,6/9/2005,2005,53.3,Improved Orion,35.1
12.06,GT,Hickman,NASA/Wallops Flight Facility,,WFF,6/28/2005,2005,275,Terrier MK 70/ ASAS,352.7
36.222,DS,Korendyke,Naval Research Lab,VAULT,WSMR,7/7/2005,2005,289,BLACK BRANT IX MOD 1,79.9
36.227,US,Judge,University of Southern California,,WSMR,8/3/2005,2005,309.1,BLACK BRANT IX MOD 2,84.6
12.063,GT,Hickman,NASA/Wallops Flight Facility,Sub-TEC,WFF,12/20/2005,2005,191,TERRIER MK 70/IMPROVED ORION W/CLAMP RELEASE,181.2
36.193,US,Kankelborg,Montana State University,MOSES-I,WSMR,2/8/2006,2006,262.6,BLACK BRANT IX MOD 2,87.5
41.068,NT,Seybold,Jet Propulsion Lab,,WSMR,4/5/2006,2006,122.9,Terrier MK 12 - Improved Orion,78.2
36.203,US,Rabin,NASA/Goddard Space Flight Center,EUNIS-06,WSMR,4/12/2006,2006,313,BLACK BRANT IX MOD 1,78.6
12.058,GT,Costello,NASA/Wallops Flight Facility,,WSMR,5/22/2006,2006,135,Terrier MK 12 - Improved Orion,85.7
30.072,NO,Justis,NASA/Wallops Flight Facility,SubSEM,WFF,6/8/2006,2006,51.03,IMPROVED ORION (4 FIN) BOAT TAIL,34.5
41.056,UO,Wheeler,Pennsylvania University,ESPRIT,ARR,7/1/2006,2006,166,TERRIER MK 12/IMPROVED ORION W/CLAMP RELEASE,108.4
