Flight,LaunchDate,Range,PI,Mission
41.088,"June 24, 2010","Wallops Island, VA",Koehler,RockOn!
41.095,"June 23, 2011","Wallops Island, VA",Koehler,RockOn!
41.092,"July 21, 2011","Wallops Island, VA",Rosanova,RockSat-X
41.101,"June 21, 2012","Wallops Island, VA",Koehler,RockOn!
46.004,"September 21, 2012","Wallops Island, VA",Rosanova,RockSat-X
41.106,"June 20, 2013","Wallops Island, VA",Koehler,RockOn!
46.005,"August 13, 2013","Wallops Island, VA",Koehler,RockSat-X
41.110,"June 26, 2014","Wallops Island, VA",Koehler,RockOn!
46.008,"April 18, 2015","Wallops Island, VA",Koehler,RockSat-X
41.113,"June 25, 2015","Wallops Island, VA",Koehler,RockOn!
46.012,"August 12, 2015","Wallops Island, VA",Koehler,RockSat-X
46.116,"June 24, 2016","Wallops Island, VA",Koehler,RockOn!
46.014,"August 17, 2016","Wallops Island, VA",Koehler,RockSat-X
41.121,"June 22, 2017","Wallops Island, VA",Koehler,RockOn!
46.017,"August 13, 2017","Wallops Island, VA",Koehler,RockSat-X
