Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
"Berkey, Frank",1971,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Boyd, John S.",1973,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Cresswell, George R.",1968,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Deehr, Charles S.",1968,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Garrido, Dante",1993,Alaska,"Westcott, Eugene M.",,29.016UE,,,,
"Hallinan, Thomas",1976,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Johnstone, Alan",1970,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Lummerzheim, Dirk",1988,Alaska,"Wescott, Eugene M.",Plasma Physics,29.007UE,,,,
"Mags, James E.",1971,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Reyrvik, Ola",1976,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Vierick, Rod",1988,Alaska,"Wescott, Eugene M.",,,,,,
"Wallis, Donald D.",1974,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Defise, Jean M.",1999,Belgium,,,,,,,
"Danowski, Meredith E.",2016,Boston,"Cook, Timothy","IMAGER sounding rocket",36.260,,,,
"Doe, Rick",1993,Boston,"Mendillo, Michael J.",Auroral Physics,,,,,
"Douglas, Ewan",2016,Boston,"Chakrabarti, Supriya","PICTURE-B sounding rocket",36.293
"Hicks, Brian",2012,Boston,"Chakrabarti, Supriya",REDDIE project,36.225,,,,
"Kamalabadi, Farzad",2005,Boston,"Chakrabarti, Supriya",UV imaging ISM,,,,,
"Mendillo, Christopher B.",2013,Boston,"Chakrabarti, Supriya","PICTURE sounding rocket",36.225,,,,
"Stephan, Sherri",2005,Boston,"Chakrabarti, Supriya",UV imaging ISM,,,,,
"Topoka ?????, Kenneth",1980,Boston,"Mendillo, Michael",X-ray Emission from Stars,27.031,,,,
"Sultan, Peter",1994,Boston,"Mendillo, Michael","SSPINEX,REDAIR,ERIC,CRRES",,,,,
"Waljeski, K. M. H.",1992,Brandeis,"Moses, J. D.",Solar Research,,,,,
"Bering, Edgar",1973,"California, Berkeley","Carlson, Charles W.",,8.056,,,,
"Bixler, Jay",1988,"California, Berkeley","Bowyer, C. S.",Far UV Background,,,,,
"Boehm, Manfred",1987,"California, Berkeley","Carlson, Charles W.",,36.006,29.021,29.018,,
"Bush, Rock O.",1983,"California, Berkeley","Carlson, Charles W.",Porcupine,,,,,
"Carlson, Charles W.",1974,"California, Berkeley","Anderson, Kinsey",,8.056,18.035,18.036,18.037,
"Cash, Webster",1978,"California, Berkeley","Bowyer, C. S.",EUV Astronomy,,,,,
"Chakrabarti, Supriya",1982,"California, Berkeley","Bowyer, C. S.",Geocoronal H+ Emission,,,,,
"Chase, Lee",1969,"California, Berkeley","Carlson, Charles W.",,18.036,18.037,,,
"Clemmons, James H.",1992,"California, Berkeley","Carlson, Charles W.",,35.009,,,,
"Cotton, Daniel",1991,"California, Berkeley","Chakrabarti, Supriya",,,,,,
"Delory, Gregory",1996,"California, Berkeley","Carlson, Charles","Rocket Observations of VLF Bursts, Electron Precipitation and Ion Heating in the Auroral Ionosphere",,,,,
"Edelstein, Jerry",1992,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Bckgrnd,36.06,,,,
"Ergun, Robert",1989,"California, Berkeley","Carlson, Charles W.",,35.023,,,,
"Freeman, Jay",1979,"California, Berkeley","Bowyer, C. S.",Solar PBYS/Study of ISM Inflow Thrusolsys,,,,,
"Glesener, Lindsay",2012,"California, Berkeley",Bob Lin / Sam Krucker,Solar Flares (FOXSI),36.255,,,,
"Green, James",1989,"California, Berkeley","Bowyer, C. S.",EUV Spectrosc. of Hot White CDWA,,,,,
"Henry, Patrick",1975,"California, Berkeley","Bowyer, C. S.",EUV Survey,,,,,
"Holberg, Jay",1975,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Background,,,,,
"Hurwitz, Mark",1990,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Bckgrnd,,,,,
"Jakobsen, Peter",1983,"California, Berkeley","Bowyer, C. S.",Diffuse EUV Background,,,,,
"Jelinsky, Patrick",1988,"California, Berkeley","Bowyer, C. S.",EUV Spectroscopy,,,,,
"Kelley, Michael",1970,"California, Berkeley","Mozer, Forrest",,8.056,,,,
"Kimble, Randy",1983,"California, Berkeley","Bowyer, C. S.",EUV Spectroscopy of Astr. Objs.,,,,,
"Klementis, Eric",1995,"California, Berkeley","Carlson, Charles W.",Plasma Physics,35.023UE,40.002UE,40.004UE,,
"Korpela, Eric",1997,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Background,36.06,,,,
"Kumar, Shailendra",1973,"California, Berkeley","Bowyer, C. S.",Study of Helium Geocorona,,,,,
"Laboy, Simon",1988,"California, Berkeley","Bowyer, C. S.",Diff. EUV Bkgnd. Spectro.,,,,,
"Lampton, Michael",1969,"California, Berkeley","Carlson, Charles W.",,14.XXX,,,,
"Mack, John",1970,"California, Berkeley","Bowyer, C. S.",Galactic X-ray Astr.,,,,,
"Malina, Roger F.",1979,"California, Berkeley","Bowyer, C. S.",EUV Spectroscopy,P,,,,
"Mallinkrodt, A. JO.",1980,"California, Berkeley","Carlson, Charles W.",Porcupine,,,,,
"Margon, Bruce",1973,"California, Berkeley","Bowyer, C. S.",Galactic X-ray Astr.,,,,,
"Martin, Christopher",1987,"California, Berkeley","Bowyer, C. S.",Far UV Background,,,,,
"McFadden, James",1985,"California, Berkeley","Carlson, Charles W.",,36.006,29.021,29.018,,
"Paresce, Francesco",1973,"California, Berkeley","Bowyer, C. S.",Study of ISM Inflotrav-Solar Sy,,,,,
"Schutz, Stephen",1973,"California, Berkeley","Carlson, Charles W.",,8.056,,,,
"Shailendra, Kumar",1973,"California, Berkeley","Bowyer, C. S.",Galactic X-ray Astronomy,,,,,
"Stern, Robert",1978,"California, Berkeley","Bowyer, C. S.",Diffuse Soft X-ray Background,,,,,
"Temerin, Michael",1978,"California, Berkeley","Carlson, Charles W.",Greenland Flight,,,,,
"Torbert, Roy B.",1979,"California, Berkeley","Carlson, Charles W.",,8.063,,,,
"Tung, Yeh-Kai",2000,"California, Berkeley","Carlson, Charles",Ion Acceleration and Transport Mechanisms in the Earth's Magnetosphere,,,,,
"Dade, Anil",1969,"California, San Diego",McIlwain,Auroral Particles,,,,,
"Rearwin, Stephen",1970,"California, San Diego",McIlwain,Ions and Electrons,,,,,
"Bowyer, Stewart",1965,Catholic,Werntz,X-rays,,,,,
"Neekins, John",1973,Catholic,Werntz,Solar X-rays,,,,,
"Pellerini, Charles",1974,Catholic,Werntz,Cosmic Rays,,,,,
"Shidanardan, Kandiah",1970,Catholic,Werntz,Cosmic I.R. Rar.,,,,,
"Bobroff, Norman",1981,CIT,"Nousek, John",Cal. Inst.,,,,,
"Cordova, France",1979,CIT,"Nousek, John",Cal. Inst.,,,,,
"Long, Knox",1975,CIT,"Garmire, Gordon P.",,13.104,13.106,,,
"Moore, William",1975,CIT,"Garmire, Gordon P.",,13.064,,,,
"Preidhorsky, William",1977,CIT,"Garmire, Gordon P.",,26.038,,,,
"Stevens, John",1972,CIT,"Garmire, Gordon P.",,13.063,,,,
"Ajello, Joseph M.",1969,Colorado,"Barth, Charles A.",Aeronomy/Solar Research,,,,,
"Bailey, Scott",1995,Colorado,"Woods, Tom",Solar EUV,,,,,
"Beasley, Matthew",2003,Colorado,"Green, James",Imaging Spectrograph for Interstellar Shocks,36.197 UG,,,,
"Behring, William",1959,Colorado,Wilshusen,Solar Research,,,,,
"Boone, Catherine",2005,Colorado,,,,,,,
"Bruner, Elmomariln C.",1964,Colorado,Rense,Solar Research,,,,,
"Cleary, David D.",1985,Colorado,"Barth, Charles A.",LASP,,,,,
"Conway, Robert R.",1980,Colorado,"Barth, Charles A.",,,,,,
"Cook, Timothy",1991,Colorado,"Sharp, William E.",GALACASTRN,,,,,
"Cunningham, Nathaniel",2007,Colorado,"Green, James",Extended Shocks Within One Kiloparsec: Instrumentation and Observations,,,,,
"Durrance, Samuel T.",1980,Colorado,"Barth, Charles A.",Astro-GEOP,,,,,
"Eparvier, Francis G.",1991,Colorado,"Barth, Charles A.",Aeronomy,,,,,
