Recipient,Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
405,"Douglas, Ewan",2016,Boston,"Chakrabarti, Supriya","PICTURE-B sounding rocket",36.293,,,,
404,"Danowski, Meredith E.",2016,Boston,"Cook, Timothy","IMAGER sounding rocket",36.260,,,,
403,"Trowbridge Heine, Sarah Nicole",2014,MIT,"Figueroa-Feliciano, Enectali","Micro-X, High-resolution x-ray imaging spectroscopy",36.245,,,,
402,"Mendillo, Christopher B.",2013,Boston,"Chakrabarti, Supriya","PICTURE sounding rocket",36.225,,,,
401,"Rutherford, John Morton",2013,MIT,"Figueroa-Feliciano, Enectali","Micro-X, High-resolution x-ray imaging spectroscopy",36.245,,,,
400,"Kaeppler, Stephen",2013,Iowa,"Kletzing, Craig",CUSP Electrodynamics,40.018,40.022,40.025,21.139,36.242
399,"Glesener, Lindsay",2012,"California, Berkeley",Bob Lin / Sam Krucker,Solar Flares (FOXSI),36.255,,,,
398,"Hicks, Brian",2012,Boston,"Chakrabarti, Supriya",REDDIE project,36.225,,,,
397,"Zeiger, Ben",2012,Colorado,Webster Cash,X-ray Astr,36.274,,,,
396,"Crowder, Gwynne",2012,Wisconsin,"McCammon, Dan",Galactic diffuse X-ray background,36.223,,,,
395,"Schindhelm, Eric",2011,Colorado,"Green, James",interstellar medium,36.244,36.27,,,
394,"Oakley, Phil",2011,Colorado,"Cash, Webster",,36.252,,,,
393,"Jones, Sarah",2010,New Hampshire,"Lessard, Marc",Auroral Research,40.02,,,,
392,"Knappmiller, Scott",2010,Colorado,"Robertson, Scott",Mesospheric Aerosol Sampling Spectrometer,41.069,41.07,,,
391,"Pancrazzi, Maurizio",2010,Univ. of Florence,,,,,,,
390,"Hecquet, Christophe",2009,Univ. of Paris XI,,,,,,,
389,"Lupu, Roxana-Elena",2009,Johns Hopkins,"McCandliss, Stephan",Astrophysics,,,,,
388,"Rocks, Lindsay",2008,University of Wisconsin,"McCammon, Dan",,,,,,
387,"Rodrigues, Fabiano",2008,Cornell,"Hysell, Dave",,,,,,
386,"Michell, Robert G.",2007,Dartmouth College,"Lynch, Kristina",High Freq waves in the Auroral Ionosphere,40.01,,,,
385,"Cunningham, Nathaniel",2007,Colorado,"Green, James",Extended Shocks Within One Kiloparsec: Instrumentation and Observations,,,,,
384,"McEntaffer, Randy",2007,Colorado,"Cash, Web",,36.224,,,,
383,"Landini, Frederico",2006,Univ. of Florence,"Romoli, Marco",,,,,,
382,"France, Kevin",2006,Johns Hopkins,"Feldman, Paul D.",Molecular Hydrogen Fluorescence,36.198,36.208,36.22,,
381,"Samara, Marilia",2005,Dartmouth College,Jim LaBelle,"Sounding rocket investigations of whistler, upper hybrid and Langmuir waves in the auroral ionosphere",40.01,40.014,40.016,36.2,
380,"Klatt, Eric Michael",2005,Cornell,"Kintner, Paul",SIERRA and SERSIO,35.035,,,,
379,"Kamalabadi, Farzad",2005,Boston,"Chakrabarti, Supriya",UV imaging ISM,,,,,
378,"Stephan, Sherri",2005,Boston,"Chakrabarti, Supriya",UV imaging ISM,,,,,
377,"Boone, Catherine",2005,Colorado,,,,,,,
376,"Bahcivan, Hasan",2005,Cornell,"Hysell, Dave",,,,,,
375,"MacDonald, Elizabeth",2004,New Hampshire,"Lynch, Kristina",Sierra-Sounding of the ion energization region: resolving ambiguities.,40.114,,,,
374,"Boerner, Paul",2004,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.194,,,,
373,"Beasley, Matthew",2003,Colorado,"Green, James",Imaging Spectrograph for Interstellar,36.197 UG,,,,
372,"Rowland, Douglas E.",2002,University of Minnesota,"Wygant, John R.",Electron acceleration over thunderstorms,27.143,,,,
371,"Burgh, Eric B.",2001,Johns Hopkins,"Feldman, Paul D.",UV Dust Scattering,36.156,36.136,36.186,36.198,
370,"Indebetuow, Remy",2001,Colorado,,,,,,,
369,"Tung, Yeh-Kai",2000,"University of California, Berkeley","Carlson, Charles",Ion Acceleration and Transport Mechanisms in the Earth's Magnetosphere,,,,,
368,"Scoug, Ruth M.",,,,,,,,,
367,"Purcell, William R.",,Northwestern,"Ulmer, Melville P.",X-ray Astr,,,,,
366,"Oluseyi, Hakeem",2000,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.091,36.049,,,
365,"McLean, Ryan",2000,Colorado,"Green, James C.",GALACASTRN,,,,,
364,"Martinez-Galarce, Dennis",2000,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.194,36.091,36.049,,
363,"Gunderson, Kurt",2000,Colorado,"Green, James C.",GALACASTRN,,,,,
362,"Nishikida, Kaori",1999,Penn State,"Burrows, David",,,,,,
361,"Hill, Steve",1999,Colorado,,,,,,,
360,"Han, Sang-In",1999,University of Wisconsin,"McCammon, Dan",,,,,,
359,"Defise, Jean Marc",1999,Belgium,,,,,,,
358,"Barnum, Benjamin H.",1999,Washington,"Holzworth, Robert H.",Rocket Experiment Thunderstorm III,,,,,
357,"Sarlin, Scott",1998,Colorado,"Green, James C.",GALACASTRN,,,,,
356,"Morgenthaler, Jeff",1998,University of Wisconsin,"McCammon, Dan",,,,,,
355,"McPhate, Jason B.",1998,Johns Hopkins,"Feldman, Paul D.",Carbon Monoxide in Comets,,,,,
354,"Cawley, Laura",1998,Penn State,"Burrows, David",,,,,,
353,"Almy, Richard",1998,University of Wisconsin,"McCammon, Dan",,,,,,
352,"Kowalski, Michael P.",1997,Northwestern,"Ulmer, Melville P.",X-ray Astr,,,,,
351,"Korpela, Eric",1997,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Background,36.06,,,,
350,"Jahn, Jorg-Micha",1997,Dartmouth College,Jim LaBelle,GUARA High Altitude Spread F Ionosphere mission,35.030IE,,,,
349,"Worden, John R.",1996,Colorado,,LASP/UV Irradiance,,,,,
348,"Morrisey, Patrick F.",1996,Johns Hopkins,"Feldman, Paul D.",Galactic,,,,,
347,"Kankelborg, Charles",1996,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.049,36.091,,,
346,"Delory, Gregory",1996,"University of California, Berkeley","Carlson, Charles","Rocket Observations of VLF Bursts, Electron Precipitation and Ion Heating in the Auroral Ionosphere",,,,,
345,"Bonnell, John",1996,Cornell,"Kintner, P.",Ion Acceleration and Wave Dynamics,40.006,40.007,,,
344,"Zhaofeng, Ma",1995,Penn State,"Croskey, Charles L.",Middle Atmosphere Electrodynamics,,,,,
343,"Martinez, Mel",1995,Johns Hopkins,"Feldman, Paul D.",Galactic A,,,,,
342,"Maclean, Phillip",1995,Pittsburgh,"Zipf, Edward C.",,,,,,
341,"Klementis, Eric",1995,"California, Berkeley","Carlson, Charles W.",Plasma Physics,35.023UE,40.002UE,40.004UE,,
340,"Deforest, Craig",1995,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.049,36.091,,,
339,"Datta, Suvro",1995,Washington,,,,,,,
338,"Bailey, Scott",1995,Colorado,"Woods, Tom",Solar EUV,,,,,
337,"Cui, Wei",1994,Wisconsin,"McCammon, Dan",,,,,,
336,"Sultan, Peter",1994,Boston,"Mendillo, Michael","SSPINEX,REDAIR,ERIC,CRRES",,,,,
335,"O'Neal, Ray",1994,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.049,36.091,,,
334,"Allen, Maxwell",1994,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.049,36.091,,,
333,"Williamson, Erik",1993,Colorado,"Sharp, William E.",Galacastrn,,,,,
332,"Wilkinson, Erik",1993,Colorado,"Green, James C.","Fuse/Astroph., Planet. & Atmos Science",,,,,
331,"Saulnier, Gregory",1993,Penn State,"Garmire, Gordon",,,,,,
330,"Plucinski, Paul",1993,Wisconsin,"McCammon, Dan",,,,,,
329,"Mendenhall, Jeffery",1993,Penn State,"Burrows, David",,,,,,
328,"Li, Ya QI.",1993,Washington,"Holzworth, Robert H.",Geophysics,36.013,27.12,,,
327,"Kraft, Ralph",1993,Penn State,"Garmire, Gordon",,,,,,
326,"Garrido, Dante",1993,Alaska,"Westcott, Eugene M.",,29.016UE,,,,
325,"Gallagher, Dennis",1993,Colorado,Webster Cash,HIENRGASTR,,,,,
324,"Doe, Rick",1993,Boston,"Mendillo, Michael J.",Auroral Physics,,,,,
323,"Cho, John",1993,Cornell,"Kelley, Michael",,,,,,
