First,Last,Field,Institution
Robert, Pfaff, Chair and Project Scientist, NASA/GSFC
Scott, Porter, Deputy Project Scientist, NASA/GSFC
Aroh, Barjatya, Geospace, Embry-Riddle Aeronautical University
John, Bonnell, Geospace, Univ. of California Berkeley
James,Clemmons, Geospace, Aerospace Corp.
Kevin,France, Astrophysics, Univ. of Colorado
Lindsay, Glesener, Solar, Univ. of Minnesota
James, LaBelle, Geospace, Dartmouth College
Gerald, Lehmacher, Geospace, Clemson University
Stephan, McCandliss, Astrophysics, Johns Hopkins University
Randall, McEntaffer, Astrophysics, Penn State University
Amy, Winebarger, Solar, NASA/Marshall
